FIPS,Jurisdict,EO_Total,EO_Vert,EO_Invert,EO_Plant,EO_Other,EO_Terr,EO_Aqu,EO_Karst,Hist_Total,Hist_5yr,Irrep_Total,Irrep_Acres,Irrep_Cat1,Irrep_Cat3,Income
51001,Accomack County,5.303,4.159,2.944,3.951,4.234,5.288,1.386,0.000,3.332,3.258,2.565,4.523,3.911,3.739,43210
51003,Albemarle County,4.174,0.000,2.485,2.303,3.807,3.332,3.638,0.000,2.944,1.609,0.000,0.000,0.000,0.000,75394
51005,Alleghany County,4.970,1.792,3.219,4.094,4.025,4.718,1.946,3.296,3.367,3.497,0.693,0.393,0.000,0.000,47794
51007,Amelia County,2.398,0.000,0.000,1.792,1.792,2.079,1.386,0.000,1.792,1.099,0.000,0.000,0.000,0.000,58526
51009,Amherst County,3.912,1.386,2.079,2.996,3.045,3.584,2.944,0.693,2.565,2.565,1.099,0.221,0.000,0.221,49170
51011,Appomattox County,2.485,0.000,0.693,0.693,2.303,2.079,1.609,0.000,1.792,0.000,0.000,0.000,0.000,0.000,56176
51013,Arlington County,3.258,0.000,2.197,2.708,1.386,3.258,0.693,1.386,2.398,0.693,0.693,2.408,0.000,2.408,117374
51015,Augusta County,5.796,3.135,3.584,5.215,4.489,5.720,2.197,3.296,4.522,4.078,2.485,4.039,3.709,2.830,61305
51017,Bath County,5.666,3.466,4.317,4.605,4.443,5.342,2.773,4.511,3.807,3.045,2.398,4.990,4.896,1.231,46137
51019,Bedford County,3.761,1.792,1.609,2.565,3.091,3.526,2.197,1.099,2.303,2.565,1.099,6.328,6.269,3.497,61541
51021,Bland County,3.951,2.833,2.708,2.303,2.565,3.296,2.079,3.434,3.367,2.079,0.693,0.247,0.247,0.000,50511
51023,Botetourt County,4.605,1.386,3.045,3.526,3.784,4.419,2.708,2.639,3.258,2.398,1.386,6.058,6.058,0.163,68410
51025,Brunswick County,4.007,1.386,2.639,2.833,3.135,3.466,3.178,0.000,3.135,2.398,0.693,1.261,1.238,0.075,41927
51027,Buchanan County,3.807,2.079,3.584,0.000,1.099,3.045,3.296,1.792,2.833,0.693,0.000,0.000,0.000,0.000,30806
51029,Buckingham County,3.526,0.000,1.099,1.099,3.401,2.398,3.219,0.000,2.398,0.693,0.000,0.000,0.000,0.000,46261
51031,Campbell County,2.565,0.693,0.000,1.609,2.079,2.303,1.386,0.000,2.079,1.609,0.000,0.000,0.000,0.000,50258
51033,Caroline County,4.963,1.792,2.565,4.500,3.611,4.920,2.708,0.693,2.708,3.258,0.693,3.410,0.000,0.000,64715
51035,Carroll County,3.871,2.485,1.609,3.367,1.609,3.761,1.792,0.693,3.892,2.944,0.693,0.016,0.016,0.000,43532
51036,Charles City County,3.434,1.099,0.693,2.773,2.565,3.135,2.398,0.000,2.890,0.000,0.693,5.103,0.000,5.085,59192
51037,Charlotte County,3.497,1.099,1.946,2.708,2.398,3.258,2.398,0.000,2.303,1.946,0.693,2.506,0.000,0.531,39212
51041,Chesterfield County,3.497,1.099,0.693,3.178,1.946,3.332,1.792,0.000,2.398,2.639,1.099,3.641,0.000,1.196,80214
51043,Clarke County,3.761,1.946,1.386,3.135,2.485,3.761,1.099,1.099,2.708,2.079,1.609,0.952,0.000,0.746,77936
51045,Craig County,4.248,2.485,2.398,3.045,3.367,3.970,2.565,2.565,3.045,1.792,0.000,0.000,0.000,0.000,55484
51047,Culpeper County,3.367,0.693,2.079,1.946,2.708,2.639,2.773,0.000,2.079,1.946,1.099,2.396,0.255,2.369,73116
51049,Cumberland County,3.434,0.693,1.099,2.303,2.944,3.258,2.197,0.000,1.609,0.693,0.000,0.000,0.000,0.000,46221
51051,Dickenson County,4.174,2.565,3.555,2.197,2.398,3.784,3.296,1.946,2.944,1.609,1.099,0.089,0.089,0.000,29226
51053,Dinwiddie County,4.331,2.197,2.303,3.829,2.639,4.060,2.996,0.000,3.258,1.792,1.386,5.609,0.000,0.000,55880
51057,Essex County,2.773,0.693,1.609,1.792,1.792,2.639,1.386,0.000,0.693,1.386,0.000,0.000,0.000,0.000,52681
51059,Fairfax County,5.011,2.890,2.485,4.078,4.159,4.860,3.497,0.693,4.025,2.639,2.708,4.919,4.410,3.951,121133
51061,Fauquier County,4.454,1.386,2.485,2.944,3.989,4.159,3.135,0.693,3.296,1.792,1.099,0.699,0.699,0.000,97469
51063,Floyd County,4.585,3.178,3.178,3.611,2.773,4.511,2.079,0.000,3.611,2.639,1.609,3.675,3.673,0.059,49729
51065,Fluvanna County,2.996,0.000,2.079,0.693,2.485,1.792,2.773,0.000,2.079,0.000,0.000,0.000,0.000,0.000,74931
51067,Franklin County,3.689,2.197,1.386,2.708,2.708,3.555,2.079,0.000,1.099,1.792,1.099,0.909,0.903,0.016,52639
51069,Frederick County,3.892,2.303,2.303,3.091,2.303,3.784,2.197,2.303,3.332,1.609,1.946,4.808,0.000,4.808,73250
51071,Giles County,4.997,2.398,3.367,4.094,3.932,4.575,1.386,4.025,4.682,2.639,1.386,1.957,1.326,0.000,52478
